,,? CPI,OCR,? OCR,MP,? WPI,UNEMP,UNDEREMP,PARTIC,UNDERUTILISE,FP ($B),FP STANCE,?GDP(1/4),,
,Sep-19,1.70%,1.00%,0.00%,hold,2.2%,5.20%,4.3,66.00%,13.5,-85.3,exp,0.60%,,
,Oct-19,,0.75%,-0.25%,exp,,5.30%,4.2,65.70%,13.7,,,,,
,Nov-19,,0.75%,0.00%,hold,,5.20%,4.0,65.60%,13.5,,,,,
COVID,Dec-19,1.80%,0.75%,0.00%,hold,2.2%,5.00%,4.1,65.70%,13.3,,,0.6,,
,Jan-20,,0.75%,0.00%,N/A,,5.20%,4.6,65.80%,13.8,,,,,
,Feb-20,,0.75%,0.00%,hold,,5.10%,4.2,65.60%,13.7,,,,,
,Mar-20,2.20%,0.50%,-0.25%,exp,2.2%,5.20%,4.3,65.50%,13.9,,,-0.2,,
,Apr-20,,0.25%,-0.25%,exp,,6.30%,4.8,63.30%,19.9,,,,,
,May-20,,0.25%,0.00%,hold,,7.00%,4.7,62.20%,20.3,,,,,
,Jun-20,-0.30%,0.25%,0.00%,hold,1.8%,7.40%,5.3,63.70%,19.0,,,-6.7,,
,Jul-20,,0.25%,0.00%,hold,,7.40%,5.2,64.40%,18.6,-134.2,exp,,,
,Aug-20,,0.25%,0.00%,hold,,6.80%,5.2,64.70%,17.9,,,,,
,Sep-20,0.70%,0.25%,0.00%,hold,1.4%,6.90%,5.3,65.60%,18.1,,,3.5,,
,Oct-20,,0.25%,0.00%,hold,,7.00%,5.0,65.30%,17.2,,,,,
,Nov-20,,0.10%,-0.15%,exp,,6.80%,4.7,65.70%,16.1,,,,,
,Dec-20,0.90%,0.10%,0.00%,hold,1.3%,6.60%,4.4,65.80%,15.1,,,3.4,,
,Jan-21,,0.10%,0.00%,hold,,6.30%,4.1,65.80%,14.4,,,,,
,Feb-21,,0.10%,0.00%,hold,,5.80%,4.0,65.70%,14.2,,,,,
,Mar-21,1.10%,0.10%,0.00%,hold,1.5%,5.70%,3.8,65.90%,13.5,,,2.2,,
,Apr-21,,0.10%,0.00%,hold,,5.50%,3.5,65.70%,13.3,,,,,
,May-21,,0.10%,0.00%,hold,,5.10%,3.3,65.90%,12.8,,,,,
,Jun-21,3.80%,0.10%,0.00%,hold,1.8%,5.00%,3.4,65.90%,12.9,,,0.8,,
,Jul-21,,0.10%,0.00%,hold,,4.70%,3.4,65.80%,13.0,-32,con,,,
,Aug-21,,0.10%,0.00%,hold,,4.60%,3.1,65.00%,13.7,,,,,
,Sep-21,3.00%,0.10%,0.00%,hold,2.2%,4.70%,3.1,64.40%,13.8,,,-1.7,,
,Oct-21,,0.10%,0.00%,hold,,5.20%,3.2,64.50%,14.6,,,,,
,Nov-21,,0.10%,0.00%,hold,,4.60%,3.2,65.80%,12.2,,,,,
,Dec-21,3.50%,0.10%,0.00%,hold,2.4%,4.20%,2.8,65.00%,10.9,,,3.6,,
,Jan-22,,0.10%,0.00%,hold,,4.20%,2.7,64.40%,10.7,,,,,
,Feb-22,,0.10%,0.00%,hold,,4.00%,3.0,64.50%,10.7,,,,,
